row ID,row m/z,row retention time,row identity (main ID),row identity (all IDs),row identity (main ID + details),row comment,row number of detected peaks,noisy_data.mzML Peak status,noisy_data.mzML Peak name,noisy_data.mzML Peak m/z,noisy_data.mzML Peak RT,noisy_data.mzML Peak RT start,noisy_data.mzML Peak RT end,noisy_data.mzML Peak duration time,noisy_data.mzML Peak height,noisy_data.mzML Peak area,noisy_data.mzML Peak charge,noisy_data.mzML Peak # data points,noisy_data.mzML Peak FWHM,noisy_data.mzML Peak tailing factor,noisy_data.mzML Peak asymmetry factor,noisy_data.mzML Peak m/z min,noisy_data.mzML Peak m/z max,
45,100.03800201416016,8.35,,,,"5458 : MZ=100.038, Time=8.35, Intensity=995245.8, Times=[7.983~8.667],  MZ=[100.038~100.0381]",1,DETECTED,100.0380 m/z @8.35 [noisy_data.mzML],100.03800201416016,8.35,7.983333333333333,8.65,0.666666666666667,999854.625,2.024030198632812E7,0,1000,0.31721467856136343,0.9022552873225136,0.885438322715682,100.03800201416016,100.03800201416016,
46,100.03800201416016,8.683333333333334,,,,"5459 : MZ=100.038, Time=8.683, Intensity=61605.9, Times=[8.683~8.833],  MZ=[100.038~100.0381]",1,DETECTED,100.0380 m/z @8.68 [noisy_data.mzML],100.03800201416016,8.683333333333334,8.683333333333334,8.833333333333334,0.15000000000000036,78639.6953125,193006.3330078125,0,1000,0.01923624993187012,null,null,100.03800201416016,100.03800201416016,
47,100.03900146484375,8.383333333333333,,,,"5601 : MZ=100.039, Time=8.317, Intensity=984485.0, Times=[7.95~8.667],  MZ=[100.039~100.0391]",1,DETECTED,100.0390 m/z @8.38 [noisy_data.mzML],100.03900146484375,8.383333333333333,7.983333333333333,8.666666666666666,0.6833333333333327,1010013.1875,2.0372911541015618E7,0,1000,0.31372257227762823,0.91094177962882,0.7861458748054954,100.03900146484375,100.03900146484375,
48,100.04000091552734,7.95,,,,"5742 : MZ=100.04, Time=8.017, Intensity=81028.5, Times=[7.917~8.017],  MZ=[100.04~100.0401]",1,DETECTED,100.0400 m/z @7.95 [noisy_data.mzML],100.04000091552734,7.95,7.916666666666667,8.016666666666667,0.10000000000000053,106779.5390625,370244.3457031294,0,1000,0.06416945999950663,1.5000000000000133,2.0000000000000266,100.04000091552734,100.04000091552734,
49,100.04000091552734,8.35,,,,"5744 : MZ=100.04, Time=8.367, Intensity=1023373.3, Times=[8.033~8.717],  MZ=[100.04~100.0401]",1,DETECTED,100.0400 m/z @8.35 [noisy_data.mzML],100.04000091552734,8.35,8.033333333333333,8.7,0.6666666666666661,1040213.625,1.9897748484375E7,0,1000,0.29693372926877437,1.0837514937314876,1.2421711865789504,100.04000091552734,100.04000091552734,
50,100.04000091552734,8.733333333333333,,,,"5745 : MZ=100.04, Time=8.733, Intensity=42076.6, Times=[8.733~8.867],  MZ=[100.04~100.0401]",1,DETECTED,100.0400 m/z @8.73 [noisy_data.mzML],100.04000091552734,8.733333333333333,8.733333333333333,8.866666666666667,0.13333333333333464,70048.671875,70191.31481933594,0,1000,0.010434305234957364,null,null,100.04000091552734,100.04000091552734,
51,100.04100036621094,8.316666666666666,,,,"5889 : MZ=100.041, Time=8.333, Intensity=1015137.9, Times=[8.0~8.717],  MZ=[100.041~100.0411]",1,DETECTED,100.0410 m/z @8.32 [noisy_data.mzML],100.04100036621094,8.316666666666666,8.0,8.716666666666667,0.7166666666666668,1033644.125,2.0422905039550774E7,0,1000,0.28695392170100753,1.1078200459695915,1.1712456582268436,100.04100036621094,100.04100036621094,
52,100.04199981689453,8.35,,,,"6036 : MZ=100.042, Time=8.333, Intensity=1044481.2, Times=[7.95~8.65],  MZ=[100.042~100.0421]",1,DETECTED,100.0420 m/z @8.35 [noisy_data.mzML],100.04199981689453,8.35,7.983333333333333,8.65,0.666666666666667,1079645.25,2.05834601640625E7,0,1000,0.3533473609825446,0.8976994079791173,0.9684730338271795,100.04199981689453,100.04199981689453,
53,100.04199981689453,8.7,,,,"6037 : MZ=100.042, Time=8.7, Intensity=99220.0, Times=[8.667~8.8],  MZ=[100.042~100.0421]",1,DETECTED,100.0420 m/z @8.70 [noisy_data.mzML],100.04199981689453,8.7,8.666666666666666,8.8,0.13333333333333464,105385.84375,361007.14318847656,0,1000,0.10454962337597173,2.0431140996195545,1.5246866354939268,100.04199981689453,100.04199981689453,
54,100.04299926757812,0.26666666666666666,,,,"6113 : MZ=100.043, Time=0.333, Intensity=3806.6, Times=[0.217~0.333],  MZ=[100.0429~100.043]",1,DETECTED,100.0430 m/z @0.27 [noisy_data.mzML],100.04299926757812,0.26666666666666666,0.21666666666666667,0.3333333333333333,0.11666666666666664,7145.16845703125,20506.613342285156,0,1000,0.10766447509040053,0.6680549435193612,0.3184198929840532,100.04299926757812,100.04299926757812,
